Country or Region,Happiness Rank,Happiness Score,Trust
Finland,1,7.632000000000001,0.39299999999999996
Norway,2,7.593999999999999,0.34
Denmark,3,7.555,0.408
Iceland,4,7.495,0.138
Switzerland,5,7.487,0.35700000000000004
Netherlands,6,7.441,0.295
Canada,7,7.327999999999999,0.29100000000000004
New Zealand,8,7.324,0.389
Sweden,9,7.314,0.38299999999999995
Australia,10,7.272,0.302
United Kingdom,11,7.19,0.08199999999999999
Austria,12,7.138999999999999,0.22399999999999998
Costa Rica,13,7.072,0.10099999999999999
Ireland,14,6.977,0.306
Germany,15,6.965,0.28
Belgium,16,6.9270000000000005,0.24
Luxembourg,17,6.91,0.321
United States,18,6.886,0.133
Israel,19,6.814,0.272
United Arab Emirates,20,6.774,
Czech Republic,21,6.711,0.034
Malta,22,6.627000000000001,0.142
France,23,6.489,0.17600000000000002
Mexico,24,6.4879999999999995,0.095
Chile,25,6.476,0.061
Taiwan,26,6.441,0.078
Panama,27,6.43,0.063
Brazil,28,6.419,0.08800000000000001
Argentina,29,6.388,0.054000000000000006
Guatemala,30,6.382000000000001,0.071
Uruguay,31,6.379,0.155
Qatar,32,6.374,0.171
Saudi Arabia,33,6.371,0.127
Singapore,34,6.343,0.457
Malaysia,35,6.322,0.059000000000000004
Spain,36,6.31,0.07400000000000001
Colombia,37,6.26,0.039
Trinidad & Tobago,38,6.192,0.019
Slovakia,39,6.172999999999999,0.013999999999999999
El Salvador,40,6.167000000000001,0.08199999999999999
Nicaragua,41,6.141,0.128
Poland,42,6.122999999999999,0.064
Bahrain,43,6.105,0.12300000000000001
Uzbekistan,44,6.096,0.259
Kuwait,45,6.082999999999999,0.106
Thailand,46,6.072,0.028999999999999998
Italy,47,6.0,0.027999999999999997
Ecuador,48,5.973,0.12
Belize,49,5.956,0.08900000000000001
Lithuania,50,5.952000000000001,0.006
Slovenia,51,5.9479999999999995,0.051
Romania,52,5.945,0.001
Latvia,53,5.933,0.066
Japan,54,5.915,0.15
Mauritius,55,5.891,0.05
Jamaica,56,5.89,0.031
South Korea,57,5.875,0.051
Northern Cyprus,58,5.835,0.154
Russia,59,5.81,0.025
Kazakhstan,60,5.79,0.121
Cyprus,61,5.7620000000000005,0.035
Bolivia,62,5.752000000000001,0.054000000000000006
Estonia,63,5.739,0.174
Paraguay,64,5.681,0.07400000000000001
Peru,65,5.662999999999999,0.034
Kosovo,66,5.662000000000001,0.023
Moldova,67,5.64,0.0
Turkmenistan,68,5.636,0.037000000000000005
Hungary,69,5.62,0.022000000000000002
Libya,70,5.566,0.14800000000000002
Philippines,71,5.524,0.105
Honduras,72,5.504,0.07400000000000001
Belarus,73,5.483,0.154
Turkey,74,5.483,0.109
Pakistan,75,5.472,0.113
Hong Kong,76,5.43,0.29100000000000004
Portugal,77,5.41,0.017
Serbia,78,5.398,0.043
Greece,79,5.358,0.044000000000000004
Lebanon,80,5.358,0.136
Montenegro,81,5.347,0.081
Croatia,82,5.321000000000001,0.039
Dominican Republic,83,5.3020000000000005,0.106
Algeria,84,5.295,0.135
Morocco,85,5.254,0.07400000000000001
China,86,5.246,0.10300000000000001
Azerbaijan,87,5.2010000000000005,0.17600000000000002
Tajikistan,88,5.199,0.034
Macedonia,89,5.185,0.052000000000000005
Jordan,90,5.1610000000000005,0.134
Nigeria,91,5.155,0.032
Kyrgyzstan,92,5.131,0.035
Bosnia and Herzegovina,93,5.129,0.0
Mongolia,94,5.125,0.032
Vietnam,95,5.103,0.079
Indonesia,96,5.093,0.018000000000000002
Bhutan,97,5.082,0.171
Somalia,98,4.982,0.282
Cameroon,99,4.975,0.043
Bulgaria,100,4.933,0.009000000000000001
Nepal,101,4.88,0.078
Venezuela,102,4.806,0.052000000000000005
Gabon,103,4.758,0.052000000000000005
Palestinian Territories,104,4.743,0.076
South Africa,105,4.724,0.055999999999999994
Iran,106,4.707,0.129
Ivory Coast,107,4.671,0.10300000000000001
Ghana,108,4.657,0.028999999999999998
Senegal,109,4.631,0.08199999999999999
Laos,110,4.623,0.174
Tunisia,111,4.592,0.063
Albania,112,4.586,0.032
Sierra Leone,113,4.571000000000001,0.053
Congo (Brazzaville),114,4.559,0.077
Bangladesh,115,4.5,0.14400000000000002
Sri Lanka,116,4.471,0.05
Iraq,117,4.456,0.095
Mali,118,4.447,0.055999999999999994
Namibia,119,4.441,0.064
Cambodia,120,4.433,0.065
Burkina Faso,121,4.4239999999999995,0.128
Egypt,122,4.419,0.107
Mozambique,123,4.417,0.158
Kenya,124,4.41,0.055
Zambia,125,4.377,0.08199999999999999
Mauritania,126,4.356,0.09300000000000001
Ethiopia,127,4.35,0.146
Georgia,128,4.34,0.215
Armenia,129,4.321000000000001,0.027999999999999997
Myanmar,130,4.308,0.17800000000000002
Chad,131,4.301,0.06
Congo (Kinshasa),132,4.245,0.052000000000000005
India,133,4.19,0.09300000000000001
Niger,134,4.166,0.099
Uganda,135,4.1610000000000005,0.061
Benin,136,4.141,0.067
Sudan,137,4.138999999999999,0.08199999999999999
Ukraine,138,4.103,0.011000000000000001
Togo,139,3.9989999999999997,0.10099999999999999
Guinea,140,3.964,0.094
Lesotho,141,3.8080000000000003,0.11199999999999999
Angola,142,3.795,0.061
Madagascar,143,3.7739999999999996,0.049
Zimbabwe,144,3.6919999999999997,0.099
Afghanistan,145,3.6319999999999997,0.036000000000000004
Botswana,146,3.59,0.092
Malawi,147,3.5869999999999997,0.08
Haiti,148,3.582,0.10400000000000001
Liberia,149,3.495,0.03
Syria,150,3.4619999999999997,0.14400000000000002
Rwanda,151,3.408,0.444
Yemen,152,3.355,0.064
Tanzania,153,3.303,0.09699999999999999
South Sudan,154,3.2539999999999996,0.106
Central African Republic,155,3.083,0.038
Burundi,156,2.905,0.076
